t,semimajor,eccentricity,argumentPeriapsis,inclination,ascendingNode
58777,6800000,5.13671107322645e-16,3.73297861044207,0,0
58777.0005787037,6800000.04184369,8.04274518682255e-05,4.7126453780473,2.18228683624326e-07,3.90400286449964
58777.0011574074,6800000.17151446,0.000160792687418581,4.71347130877612,4.24072097269418e-07,3.93132526371453
58777.0017361111,6800000.38855475,0.000241033479249235,4.71496582391639,6.16731575033153e-07,3.95797987726342
58777.0023148148,6800000.69223694,0.000321087674804384,4.71724029310671,7.95473782003308e-07,3.98385571350097
58777.0028935185,6800001.08156584,0.000400893234498571,4.72042224789983,9.59636545432737e-07,4.00882561498216
58777.0034722222,6800001.55528205,0.000480388270008225,4.72465889735918,1.10863509383922e-06,4.03274274170056
58777.0040509259,6800002.11186593,0.000559511082772574,4.73012150786988,1.24196889666953e-06,4.0554361901503
58777.0046296296,6800002.74954241,0.000638200202749267,4.73701089216503,1.35922936970137e-06,4.0767055031814
58777.0052083333,6800003.46628648,0.000716394427460057,4.74556432559913,1.46010881271972e-06,4.09631375263647
58777.005787037,6800004.25982931,0.000794032861367021,4.75606430024329,1.54441108867721e-06,4.11397878419092
58777.0063657407,6800005.12766516,0.000871054955605411,4.76884964077836,1.61206475536417e-06,4.12936210042598
58777.0069444444,6800006.06705892,0.000947400548105399,4.7843296359587,1.66313964675708e-06,4.14205472836142
58777.0075231481,6800007.07505421,0.00102300990412185,4.80300196698556,1.69786830618657e-06,4.15155929011611
58777.0081018519,6800008.14848224,0.00109782375719195,4.82547528809947,1.71667424159989e-06,4.15726742138546
58777.0086805556,6800009.28397121,0.00117178335053095,4.85249721254918,1.72020975364148e-06,4.15843178458446
58777.0092592593,6800010.47795622,0.00124483047887343,4.88498790732649,1.70940711283989e-06,4.15413247326626
58777.009837963,6800011.72668996,0.00131690753076169,4.92407793372275,1.68554808634064e-06,4.14323917076246
58777.0104166667,6800013.02625362,0.00138795753127124,4.97114526320048,1.65035794906904e-06,4.12437413356059
58777.0109953704,6800014.37256864,0.00145792418516842,5.0278385098287,1.60613025131484e-06,4.09588895816004
58777.0115740741,6800015.76140869,0.00152675192047234,5.0960582178557,1.55588545163886e-06,4.05588329284944
58777.0121527778,6800017.18841226,0.00159438593240488,5.17784252398881,1.50355508692841e-06,4.0023191748246
58777.0127314815,6800018.64909561,0.00166077222769116,5.27507096113124,1.45415478565516e-06,3.93331722590653
58777.0133101852,6800020.13886612,0.00172585766917284,5.3888871638713,1.41385501502021e-06,3.84773394656344
58777.0138888889,6800021.65303606,0.00178959002068996,5.5188220486451,1.38978592363726e-06,3.74603853531788
58777.0144675926,6800023.18683662,0.00185191799217962,5.66187208252165,1.38938568846776e-06,3.63123461958958
58777.0150462963,6800024.73543232,0.00191279128493102,5.8121821498892,1.41925295881805e-06,3.50917738869905
58777.015625,6800026.2939356,0.00197216063693243,5.96200471667608,1.48384603023409e-06,3.38761442939868
58777.0162037037,6800027.85742171,0.00202997786824349,6.10376469219453,1.58468633915315e-06,3.27412086384098
58777.0167824074,6800029.42094372,0.0020861959263058,6.23201637526945,1.72050344476758e-06,3.17414240333002
58777.0173611111,6800030.97954777,0.00214076893112209,0.0610037769166126,1.88811630387742e-06,3.09024971840363
58777.0179398148,6800032.52828833,0.00219365222020501,0.156940822733991,2.08346841256587e-06,3.02259946516744
58777.0185185185,6800034.06224359,0.00224480239320764,0.23795173969258,2.30239211021543e-06,2.96988205549906
58777.0190972222,6800035.57653081,0.00229417735613848,0.305973998612633,2.54101136160774e-06,2.93015994342675
58777.0196759259,6800037.06632176,0.00234173636506017,0.363043527165264,2.79588040184996e-06,2.90139710514965
58777.0202546296,6800038.52685791,0.00238744006915918,0.411032894508289,3.06398158917073e-06,2.8817208546708
58777.0208333333,6800039.95346568,0.00243125055309138,0.451556335469586,3.34266723847727e-06,2.86951681994446
58777.021412037,6800041.34157142,0.00247313137848161,0.485960172110434,3.62958964340987e-06,2.86343852170941
58777.0219907407,6800042.68671618,0.00251304762446755,0.515349524093094,3.92263781808561e-06,2.862380663581
58777.0225694444,6800043.98457025,0.00255096592717941,0.540626076280983,4.21988653897682e-06,2.86544136497258
58777.0231481481,6800045.23094735,0.0025868545180327,0.562525530035593,4.51955774695822e-06,2.87188471038212
58777.0237268519,6800046.42181848,0.00262068326072517,0.581650438940873,4.81999247573473e-06,2.88110791431087
58777.0243055556,6800047.55332533,0.00265242368682182,0.598497406473296,5.11963113225424e-06,2.89261412429486
58777.0248842593,6800048.62179323,0.00268204902981726,0.613478979587658,5.41700018328129e-06,2.9059905280772
58777.025462963,6800049.62374359,0.00270953425756334,0.626941026699366,5.71070367827005e-06,2.92089097643854
58777.0260416667,6800050.55590574,0.00273485610295611,0.639176451204426,5.99941840124469e-06,2.93702227054228
58777.0266203704,6800051.41522824,0.00275799309277808,0.65043600388297,6.28189174464989e-06,2.95413335044616
58777.0271990741,6800052.1988894,0.002778925574592,0.660936827233736,6.55694163094405e-06,2.97200675173099
58777.0277777778,6800052.90430722,0.00279763574160274,0.670869236499315,6.82345798254433e-06,2.99045182548212
58777.0283564815,6800053.52914848,0.0028141076553825,0.680402131477768,7.08040537001676e-06,3.00929932752723
58777.0289351852,6800054.07133713,0.00282832726638978,0.689687343300629,7.32682656337046e-06,3.02839707274579
58777.0295138889,6800054.52906175,0.00284028243219771,0.698863149477801,7.56184678092126e-06,3.04760642114706
58777.0300925926,6800054.90078226,0.00284996293336871,0.708057135434947,7.78467848116316e-06,3.06679941748654
58777.0306712963,6800055.18523561,0.00285736048690859,0.717388538188534,7.99462658028602e-06,3.0858564487737
58777.03125,6800055.38144065,0.00286246875725229,0.726970174798435,8.1910940048188e-06,3.1046643170253
58777.0318287037,6800055.48870197,0.00286528336473655,0.736910032442175,8.37358750766249e-06,3.12311465041788
58777.0324074074,6800055.50661283,0.00286580189152321,0.747312576477439,8.54172368796779e-06,3.1411025964676
58777.0329861111,6800055.43505701,0.00286402388494922,0.758279816251901,8.6952351617104e-06,3.15852575747435
58777.0335648148,6800055.27420972,0.00285995085828571,0.76991215455991,8.83397683069493e-06,3.17528334232765
58777.0341435185,6800055.0245375,0.00285358628890883,0.782309034682795,8.95793219290021e-06,3.19127552073071
58777.0347222222,6800054.68679704,0.00284493561386857,0.795569388271918,9.06721962600429e-06,3.20640297658113
58777.0353009259,6800054.262033,0.00283400622289419,0.809791877502119,9.16209855769803e-06,3.22056666707581
58777.0358796296,6800053.75157483,0.00282080744883606,0.82507491571073,9.24297540984279e-06,3.23366780331924
58777.0364583333,6800053.15703256,0.00280535055559433,0.841516442125092,9.31040916729881e-06,3.24560807682968
58777.037037037,6800052.48029157,0.00278764872357028,0.859213418484905,9.36511637498184e-06,3.25629016413047
58777.0376157407,6800051.72350642,0.00276771703269543,0.878261008931101,9.40797530727116e-06,3.26561854805198
58777.0381944444,6800050.8890937,0.00274557244309725,0.89875140035708,9.4400289818144e-06,3.27350069854335
58777.0387731481,6800049.97972394,0.00272123377347441,0.920772219859304,9.46248660581165e-06,3.27984865635268
58777.0393518519,6800048.99831262,0.00269472167725481,0.9444045108079,9.47672294980934e-06,3.28458105805089
58777.0399305556,6800047.94801034,0.00266605861662846,0.969720241653708,9.48427504773256e-06,3.28762562827967
58777.0405092593,6800046.83219212,0.00263526883454008,0.996779344429712,9.48683553234582e-06,3.28892214226051
58777.041087963,6800045.65444596,0.00260237832474566,1.02562631541377,9.48624184777008e-06,3.28842582609533
58777.0416666667,6800044.41856058,0.00256741480002944,1.05628646021447,9.48446055606816e-06,3.28611111259204
58777.0422453704,6800043.12851262,0.00253040765870098,1.08876192947784,9.48356599943982e-06,3.28197560641616
58777.0428240741,6800041.78845306,0.00249138794947432,1.1230277663105,9.48571272233008e-06,3.27604403746774
58777.0434027778,6800040.40269308,0.00245038833484824,1.15902826497806,9.49310132584558e-06,3.2683719029228
58777.0439814815,6800038.97568948,0.00240744305310959,1.1966740100597,9.50793783767357e-06,3.25904842875619
58777.0445601852,6800037.51202957,0.00236258787907464,1.23584000905368,9.53238723191853e-06,3.24819843774838
58777.0451388889,6800036.01641561,0.00231586008369152,1.27636533017988,9.56852239287855e-06,3.23598271222752
58777.0457175926,6800034.49364902,0.0022672983926267,1.31805459374718,9.61827051648702e-06,3.2225965031792
58777.0462962963,6800032.94861422,0.00221694294394743,1.36068153121146,9.68335958011436e-06,3.20826597159317
58777.046875,6800031.38626225,0.0021648352450302,1.40399462673064,9.76526796199769e-06,3.19324254724392
58777.0474537037,6800029.81159428,0.00211101812879861,1.44772461532426,9.8651804373049e-06,3.17779543079153
58777.0480324074,6800028.22964503,0.00205553570941738,1.49159336956389,9.98395353879138e-06,3.1622027072821
