t,semimajor,eccentricity,argumentPeriapsis,inclination,ascendingNode
58777,6800000,5.13671107322645e-16,3.29934922480124,2.03540569948579,0.433629385640827
58777.0005787037,6799462.61404963,9.91718035005508e-05,2.82140161910011,2.03542548059762,0.433636959795308
58777.0011574074,6798851.30585023,0.000202652325880913,2.91071499219748,2.03544799367147,0.433647193282063
58777.0017361111,6798173.84140052,0.000309681374756781,2.99806620343609,2.03547295525794,0.433660413183752
58777.0023148148,6797438.82002802,0.000419395872744166,3.08360687708866,2.03550005095383,0.433676909043048
58777.0028935185,6796655.56465965,0.000530843764273502,3.16747743740221,2.0355289393264,0.43369692920247
58777.0034722222,6795834.00314234,0.000642998886102568,3.24980695046586,2.03555925618064,0.433720677650548
58777.0040509259,6794984.54215508,0.000754776585259729,3.33071328828034,2.03559061911828,0.433748311414976
58777.0046296296,6794117.93533677,0.000865049882013628,3.41030349046023,2.03562263233345,0.43377993853723
58777.0052083333,6793245.14731521,0.000972665983158393,3.48867423117104,2.03565489158624,0.433815616656324
58777.005787037,6792377.21536055,0.00107646295497352,3.56591232321865,2.03568698929329,0.433855352222234
58777.0063657407,6791525.1104022,0.00117528636755926,3.64209520877471,2.03571851967193,0.433899100351882
58777.0069444444,6790699.59914226,0.00126800572427312,3.71729139818868,2.03574908387364,0.433946765332683
58777.0075231481,6789911.1089711,0.00135353049270073,3.79156082558241,2.03577829504177,0.433998201770542
58777.0081018519,6789169.59734363,0.00143082555763028,3.86495509306594,2.03580578322915,0.43405321637091
58777.0086805556,6788484.42720821,0.00149892592235438,3.93751757474569,2.03583120011213,0.434111570333276
58777.0092592593,6787864.24999703,0.0015569504925778,4.00928334704642,2.03585422343997,0.434172982331307
58777.009837963,6787316.89758649,0.00160411478747208,4.0802789026347,2.03587456116111,0.434237132042924
58777.0104166667,6786849.28452254,0.00163974243513045,4.15052159001912,2.035891955172,0.434303664187065
58777.0109953704,6786467.32167805,0.00166327532499064,4.22001869735457,2.03590618463848,0.434372193016785
58777.0115740741,6786175.84237149,0.00167428230794469,4.28876606304252,2.03591706884514,0.4344423072119
58777.0121527778,6785978.54182723,0.00167246635621943,4.35674604067467,2.03592446953411,0.434513575108631
58777.0127314815,6785877.93070152,0.00165767012043425,4.42392456035824,2.03592829270148,0.434585550198819
58777.0133101852,6785875.30323427,0.00162987985192355,4.49024689299115,2.03592848982657,0.434657776827285
58777.0138888889,6785970.72041811,0.00158922769698396,4.55563150425523,2.03592505851687,0.434729796012955
58777.0144675926,6786163.00840311,0.00153599242109388,4.61996101862782,2.03591804255945,0.434801151317473
58777.0150462963,6786449.77218013,0.0014705986947384,4.68306868352457,2.03590753137742,0.434871394684205
58777.015625,6786827.42440898,0.00139361518694682,4.74471760144248,2.03589365889844,0.434940092170897
58777.0162037037,6787291.22908169,0.00130575190654959,4.80456791835715,2.03587660184974,0.435006829500658
58777.0167824074,6787835.35953615,0.0012078575879217,4.86212312292644,2.03585657750242,0.435071217358513
58777.0173611111,6788452.97016475,0.00110091862863906,4.91663836226956,2.0358338408947,0.435132896364343
58777.0179398148,6789136.28099631,0.000986062619753297,4.96695573417925,2.03580868157102,0.435191541657572
58777.0185185185,6789876.67417031,0.000864573112293851,5.01118950218609,2.0357814198802,0.435246867034468
58777.0190972222,6790664.80117142,0.000737931598871201,5.04607679647942,2.03575240288143,0.435298628585126
58777.0196759259,6791490.69955202,0.000607929891927907,5.06550429641431,2.03572199991215,0.435346627784175
58777.0202546296,6792343.91774198,0.000476987806541773,5.05673907249337,2.03569059787569,0.435390713996726
58777.0208333333,6793213.64643059,0.000349181740445829,4.98928773387133,2.03565859631016,0.435430786369019
58777.021412037,6794088.85490833,0.000234294657847418,4.7781712670413,2.03562640230253,0.435466795081477
58777.0219907407,6794958.43067504,0.000164153131239774,4.22508734003645,2.03559442531327,0.435498741950264
