t,semimajor,eccentricity,argumentPeriapsis,inclination,ascendingNode
58777,6800000,5.09736639196034e-16,0.228953943884441,1.83185307179586,3.57522203923062
58777.0005787037,6799379.12374051,0.00010763513048638,6.05351926746637,1.83186530223815,3.57522637275823
58777.0011574074,6798671.47592471,0.000221693839284097,6.14464638097395,1.8318792457583,3.57523223773002
58777.0017361111,6797886.05448408,0.00034131013015625,6.23344367937049,1.83189472595713,3.57523982397515
58777.0023148148,6797032.83691883,0.000465483822368197,0.0369688755653099,1.83191154701722,3.57524929968509
58777.0028935185,6796122.65250441,0.00059309946779422,0.121809095374879,1.83192949614593,3.57526080928789
58777.0034722222,6795167.04396991,0.00072294573795015,0.204971557695741,1.83194834623401,3.57527447161464
58777.0040509259,6794178.12046541,0.000853735177734716,0.286627339814904,1.83196785869779,3.5752903783819
58777.0046296296,6793168.40373178,0.000984124211381453,0.366928490353603,1.83198778647062,3.57530859301008
58777.0052083333,6792150.66945568,0.00111273326981864,0.446010264882849,1.83200787710718,3.57532914979385
58777.005787037,6791137.78583485,0.00123816689167809,0.523993147673197,1.83202787596226,3.57535205343672
58777.0063657407,6790142.5513937,0.00135903363517841,0.600984653546996,1.83204752940474,3.57537727895719
58777.0069444444,6789177.53407873,0.00147396562621631,0.677080917076614,1.83206658802631,3.57540477196961
58777.0075231481,6788254.91362725,0.00158163755997246,0.752368083246905,1.83208480980442,3.57543444933797
58777.0081018519,6787386.32914361,0.00168078496926207,0.826923516517536,1.83210196317891,3.57546620019611
58777.0086805556,6786582.7337361,0.00177022157275674,0.90081684555389,1.83211783000276,3.57549988732304
58777.0092592593,6785854.25796624,0.00184885551992101,0.974110859680633,1.83213220832842,3.57553534885751
58777.009837963,6785210.0837427,0.00191570435675834,1.04686227090832,1.8321449149932,3.57557240033094
58777.0104166667,6784658.33015644,0.00196990854703488,1.11912235248598,1.83215578796945,3.57561083699395
58777.0109953704,6784205.95260373,0.00201074339720016,1.19093746137868,1.83216468844818,3.57565043640735
58777.0115740741,6783858.65638124,0.00203762924945916,1.26234944775143,1.83217150262803,3.57569096126464
58777.0121527778,6783620.82576435,0.00205013982607505,1.33339594910031,1.83217614318552,3.57573216240992
58777.0127314815,6783495.46939846,0.00204800862860347,1.4041105594894,1.83217855040636,3.57577378201227
58777.0133101852,6783484.1826439,0.00203113331812614,1.47452285437804,1.8321786929624,3.57581555685521
58777.0138888889,6783587.1273211,0.00199957802627841,1.54465823698508,1.83217656832339,3.57585722169823
58777.0144675926,6783803.02910418,0.00195357357168527,1.61453755004705,1.83217220279775,3.5758985126664
58777.0150462963,6784129.19261057,0.0018935155820283,1.68417636197364,1.8321656512015,3.57593917062329
58777.015625,6784561.53403274,0.00181996054815173,1.75358377945234,1.83215699615975,3.57597894448317
58777.0162037037,6785094.6309571,0.00173361986332769,1.82276054221287,1.83214634704986,3.57601759441865
58777.0167824074,6785721.78881601,0.00163535192819807,1.89169598661447,1.83213383860061,3.57605489492203
58777.0173611111,6786435.12322406,0.00152615243072765,1.96036315600706,1.83211962916594,3.57609063768026
58777.0179398148,6787225.65725988,0.00140714294275997,2.02871074594957,1.8321038986965,3.57612463422636
58777.0185185185,6788083.43257257,0.00127955801523239,2.09664938473815,1.83208684643603,3.57615671833312
58777.0190972222,6788997.63301853,0.00114473101494161,2.16402720624827,1.83206868837312,3.57618674811868
58777.0196759259,6789956.71937305,0.00100407905869503,2.23058380474059,1.83204965448222,3.57621460783745
58777.0202546296,6790948.57351218,0.000859087657843624,2.29585682885056,1.83202998578997,3.57624020933438
58777.0208333333,6791960.6503282,0.000711296386749479,2.35897336104986,1.83200993130528,3.57626349314488
58777.021412037,6792980.13552681,0.000562289178848053,2.4181188812198,1.83198974485297,3.57628442922769
58777.0219907407,6793994.10735949,0.000413702230374242,2.468905267692,1.83196968185166,3.57630301732279
58777.0225694444,6794989.70027197,0.000267316204009917,2.49759839669515,1.83194999607711,3.57631928693112
58777.0231481481,6795954.26840111,0.000125880219171848,2.43043203163713,1.83193093645196,3.57633329691807
