Astana_argumentLatitude,Astana_focalParameter,Astana_semimajor,Astana_eccentricity,Astana_argumentPeriapsis,Astana_inclination,Astana_ascendingNode,Astana_analytical_inclination,Astana_analytical_ascendingNode,Astana_analytical_argumentPeriapsis,Astana_analytical_eccentricity,Astana_analytical_focalParameter,Astana_analytical_semimajor,Astana_analytical_semimajor_easy
1.30899693899575,5100000,6799999.99999999,0.5,0.523598775598299,0.890117918517108,1.0471975511966,0.890117918517108,1.0471975511966,0.523598775598299,0.5,5100000,6800000,6800000
1.34057167196179,5099688.48113132,6799656.8185615,0.500007961042785,0.523434516702101,0.890092982874988,1.04706976715122,0.890092945775396,1.04706957840349,0.523434606667109,0.500007871158697,5099685.44456914,6799651.95793104,6799651.95484005
1.37161491980969,5099421.05871525,6799491.2603623,0.500029028763947,0.523286298125255,0.890071559065874,1.04694334799197,0.890071490747737,1.04694297875923,0.523286293736407,0.500028924257577,5099415.19809211,6799482.51072485,6799482.49835176
1.40212517364089,5099196.21814411,6799488.23310709,0.500061759170284,0.523155191022862,0.890053527727804,1.04681862509928,0.890053433618615,1.04681808314534,0.523154903386826,0.500061712560871,5099187.75137856,6799476.52905664,6799476.52051016
1.43210234206736,5099012.23869905,6799632.43305333,0.500104713238681,0.523041896534563,0.890038752843688,1.04669589422459,0.89003863794103,1.04669518676158,0.523041136701994,0.500104793385194,5099001.38574874,6799618.64102408,6799618.68730676
1.46154763453476,5098867.23708131,6799908.62037866,0.50015648176407,0.52294678000782,0.890027085224309,1.04657541583477,0.890026954124182,1.04657454949376,0.522945362908579,0.500156753045436,5098854.21696427,6799893.51689764,6799893.71746243
1.49046344592648,5098759.20771634,6800301.85079024,0.500215705713891,0.522869908062708,0.890018365738109,1.04645741596586,0.890018222666011,1.04645639678749,0.522867655761243,0.500216227331764,5098744.23594501,6800286.10906801,6800286.61562333
1.51885324370725,5098686.0594801,6800797.66485174,0.500281092292747,0.522811086914525,0.890012428258382,1.0463420874928,0.89001227710153,1.04634092093461,0.522807831149865,0.500281917714007,5098669.34590616,6800781.84848188,6800782.86343248
1.54672145864041,5098645.64865332,6801382.23758561,0.500351427029857,0.522769900631141,0.890009102311153,1.04622959172643,0.890008946650579,1.04622828268351,0.522765484655136,0.500352603578263,5098627.39570919,6801366.80005517,6801368.57095156
1.57407337990238,5098635.80804238,6802042.49166234,0.500425582274755,0.522745748263672,0.890008215417829,1.04612006025611,0.890008058559377,1.04611861309212,0.522740028027663,0.500427150873669,5098616.20935592,6802027.78039583,6802030.5916665
1.60091505522441,5098654.37231352,6802766.17795506,0.500502522528094,0.522737879038316,0.890009595135553,1.04601359696423,0.890009440139068,1.04601201554983,0.522730723802974,0.500504517589608,5098633.61166602,6802752.44170047,6802756.60478801
1.62725319651815,5098699.1996725,6803541.92746488,0.500581307050036,0.522745425024748,0.890013070805175,1.04591028014786,0.890012920511433,1.04590856790413,0.522736717481817,0.500583756500361,5098677.45026577,6803529.32595763,6803535.16879721
1.65309509128761,5098768.19008599,6804359.27865513,0.500661090183865,0.522767430896742,0.890018475022069,1.04581016469161,0.890018332077146,1.04580832463637,0.522757066896595,0.500664015610726,5098745.61408231,6804347.893647,6804355.75023426
1.67844851999701,5098859.30028602,6805208.68411735,0.500741119812318,0.522802880570964,0.890025644848749,1.04571328424482,0.890025511725736,1.04571131903996,0.522790768548292,0.500744536717376,5098836.04858412,6805198.53101637,6805208.73162545
1.70332167945094,5098970.5558279,6806081.50026723,0.500820734333379,0.522850720649732,0.890034422790705,1.04561965336467,0.890034301808749,1.04561756536309,0.522836780833202,0.500824652471149,5098946.76803901,6806072.53979043,6806085.40223299
1.72772311214824,5099100.06048703,6806969.96347106,0.50089935850468,0.522909880704324,0.890044657558174,1.04552926959433,0.890044550898957,1.04552706088536,0.522894044186443,0.500903782289066,5099075.86507703,6806962.1128569,6806977.93502533
1.75166164149435,5099246.00328512,6807867.15566225,0.500976498464634,0.522979290519659,0.89005620463702,1.0454421154527,0.890056114358829,1.04543978790507,0.52296149825172,0.500981427424662,5099221.51785093,6807860.29911818,6807879.35293287
1.77514631269513,5099406.66343086,6808766.96214473,0.50105173619637,0.523057894481742,0.890068926691577,1.04535816031822,0.890068854741164,1.04535571562007,0.523038096246876,0.501057165463919,5099381.9950825,6808760.9603162,6808783.48709966
1.79818633910823,5099580.41345019,6809664.02391749,0.501124723659419,0.523144663329913,0.890082693821486,1.04527736219481,0.890082642043951,1.04527480189026,0.523122816735659,0.501130644473407,5099555.65927278,6809658.72225594,6809684.92948245
1.8207910537927,5099765.72076495,6810553.68650199,0.501195176775293,0.523238603519777,0.890097383693346,1.04519966935251,0.890097353840276,1.04519699487459,0.523214673040886,0.501201576988767,5099740.96833836,6810548.92248263,6810578.98180031
1.8429698659737,5099961.14796037,6811431.94692461,0.501262869417426,0.523338764453217,0.890112881566495,1.04512502183925,0.890112875302596,1.04512223453908,0.52331272054591,0.501269733996109,5099936.47591714,6811427.5561209,6811461.60250903
1.86473222212348,5100165.35196093,6812295.40020335,0.501327627523989,0.523444243831965,0.890129080230616,1.04505335286322,0.890129099139062,1.04505045403557,0.523416062132827,0.501334939026982,5100140.83056625,6812291.2212663,6812329.35317216
1.88608757135233,5100377.08231275,6813141.18641668,0.501389323423993,0.523554191383505,0.890145879871119,1.04498459004793,0.890145925457833,1.04498158095313,0.523523851999552,0.501397062459372,5100352.77405294,6813137.06503557,6813179.34532854
