t,x,y,z
58752.1,6799259.29377198,0.000413026829080353,100292.562237197
58752.2,6799247.94233377,0.000416804104112012,101058.097875091
58752.3,6799236.50457898,0.000420432879326772,101823.632225553
58752.4,6799224.98050852,0.000424131937898174,102589.165278804
58752.5,6799213.37012172,0.000427306671109927,103354.697025088
58752.6,6799201.67341812,0.000429853273491786,104120.227454493
58752.7,6799189.89039598,0.000432447969778885,104885.756557463
58752.8,6799178.02105813,0.000437018470043442,105651.284324499
58752.9,6799166.06540827,0.00044145821293206,106416.810745721
58753,6799154.02344411,0.00044498478058366,107182.335811891
58753.1,6799141.8951645,0.000448306163436684,107947.859513503
58753.2,6799129.68057047,0.000451827505128281,108713.381840138
58753.3,6799117.37966134,0.000455246330478921,109478.902781869
58753.4,6799104.99243808,0.00045870567794694,110244.422328913
58753.5,6799092.51890001,0.000461634940614556,111009.940471528
58753.6,6799079.95904666,0.000463946025535102,111775.457199784
58753.7,6799067.3128763,0.000466388880641804,112540.972504136
58753.8,6799054.58039196,0.000470795636699722,113306.486375069
58753.9,6799041.76159722,0.00047494282416826,114071.998802774
58754,6799028.85648973,0.00047821331624349,114837.509778018
58754.1,6799015.86506832,0.000481340281316407,115603.019291256
58754.2,6799002.78733409,0.000484625679028614,116368.527332032
58754.3,6798989.62328639,0.000487865505062032,117134.033890426
58754.4,6798976.37292619,0.000491114635358013,117899.53895666
58754.5,6798963.03625283,0.000493826374737021,118665.042521004
58754.6,6798949.61326582,0.00049592935635544,119430.544573512
58754.7,6798936.10396346,0.000498238108229742,120196.045104655
58754.8,6798922.50834895,0.000502486164612958,120961.544104909
58754.9,6798908.82642574,0.000506341080929905,121727.041564529
58755,6798895.05819144,0.000509360044461407,122492.537474283
58755.1,6798881.20364488,0.000512302739833655,123258.031824585
58755.2,6798867.2627872,0.000515367547425037,124023.524604936
58755.3,6798853.23561782,0.000518438539821287,124789.015805437
58755.4,6798839.1221377,0.000521485798813226,125554.505416306
58755.5,6798824.92234615,0.00052398701397875,126319.99342783
58755.6,6798810.63624272,0.000525881270615017,127085.479830039
58755.7,6798796.2638257,0.000528046554294533,127850.964613425
58755.8,6798781.80509847,0.000532119155614876,128616.447768462
58755.9,6798767.26006432,0.000535667988224849,129381.929285458
58756,6798752.62872085,0.000538418794292336,130147.409155186
58756.1,6798737.91106691,0.000541162389842514,130912.887368011
58756.2,6798723.10710368,0.000543994048490253,131678.363913397
58756.3,6798708.21683062,0.000546865387458608,132443.838781478
58756.4,6798693.24024869,0.000549678575968627,133209.311962457
58756.5,6798678.17735719,0.000551935460905406,133974.783446638
58756.6,6798663.02815568,0.000553573651487342,134740.253224026
58756.7,6798647.79264245,0.00055554581256788,135505.721285131
58756.8,6798632.47082104,0.000559394035755341,136271.187620425
58756.9,6798617.06269457,0.000562597008600486,137036.652220268
58757,6798601.56826069,0.000565029830663928,137802.115075438
58757.1,6798585.98751826,0.000567525941165804,138567.576176247
58757.2,6798570.32046845,0.000570076153930437,139333.035512127
58757.3,6798554.56711081,0.000572680533968962,140098.493073255
58757.4,6798538.72744627,0.000575191224153854,140863.948849814
58757.5,6798522.80147413,0.000577134323073993,141629.402832126
58757.6,6798506.78919395,0.000578434297610612,142394.855010167
58757.7,6798490.69060402,0.000580137449230238,143160.305374458
58757.8,6798474.50570807,0.000583688195544657,143925.753915472
