t,x,y,z,r
58777.025462963,-5351773.05541137,25.456228727481,4183421.16482612,6792826.17763699
58777.0260416667,-5579080.04849134,23.9164565431486,3875205.25383554,6792889.66106477
58777.0266203704,-5788670.5461532,22.1781918120997,3554648.33734113,6792954.54824744
58777.0271990741,-5979872.72001911,20.2414106006553,3222767.43170971,6793019.03919953
58777.0277777778,-6152073.11171832,18.1070778677203,2880616.54411882,6793081.42498723
58777.0283564815,-6304718.74819863,15.7771675967011,2529283.31567038,6793140.1122798
58777.0289351852,-6437319.06139483,13.2546783775691,2169885.5305356,6793193.64614323
58777.0295138889,-6549447.60173455,10.5436442844893,1803567.50312915,6793240.73077946
58777.0300925926,-6640743.53582354,7.6491409201097,1431496.3564191,6793280.24794222
58777.0306712963,-6710912.91966232,4.57728652442826,1054858.20550128,6793311.27279068
58777.03125,-6759729.73989079,1.33523807384884,674854.261481752,6793333.08697622
58777.0318287037,-6787036.71682334,-2.06881767577429,292696.871497621,6793345.188793
58777.0324074074,-6792745.86440286,-5.62567821987888,-90394.4886519017,6793347.30026167
58777.0329861111,-6776838.803649,-9.32514439925235,-473197.252310625,6793339.37105486
58777.0335648148,-6739366.82767899,-13.1560445191278,-854489.812941418,6793321.57921393
58777.0341435185,-6680450.71791439,-17.1062634280386,-1233055.57087384,6793294.32864781
58777.0347222222,-6600280.31262822,-21.162776465192,-1607686.95847019,6793258.24344627
58777.0353009259,-6499113.83050866,-25.3116881604669,-1977189.42658225,6793214.15908097
58777.0358796296,-6377276.95339209,-29.5382755480552,-2340385.37557065,6793163.11060785
58777.0364583333,-6235161.67372623,-33.8270359333529,-2696118.01472365,6793106.31802316
58777.037037037,-6073224.91364036,-38.1617389331231,-3043255.13462941,6793045.16896263
58777.0376157407,-5891986.92370491,-42.5254825913036,-3380692.77790964,6792981.19896769
58777.0381944444,-5692029.47053924,-46.9007533570681,-3707358.7946946,6792916.06957471
58777.0387731481,-5473993.82336084,-51.2694896979373,-4022216.27028671,6792851.54451209
58777.0393518519,-5238578.5503508,-55.6131491087136,-4324266.81360248,6792789.46431523
58777.0399305556,-4986537.13633317,-59.912778266721,-4612553.69617234,6792731.71969072
58777.0405092593,-4718675.43372738,-64.1490860750865,-4886164.83269376,6792680.22397865
