t,x,y,z,r
58777.0381944444,-5690776.53306201,-46.9145760270646,-3707935.10770819,6792180.82168203
58777.0387731481,-5472657.39908015,-51.2838301218856,-4022762.05633768,6792097.87711034
58777.0393518519,-5237157.31067354,-55.6279470785646,-4324775.83012737,6792017.57069942
58777.0399305556,-4985030.14966209,-59.9279628622363,-4613019.40780498,6791941.81758184
58777.0405092593,-4717082.19843524,-64.1645752703981,-4886580.43414994,6791872.55551285
58777.041087963,-4434169.43529174,-68.3182196627364,-5144594.03737469,6791811.71668753
58777.0416666667,-4137194.68740574,-72.369147049395,-5386245.47367472,6791761.19938098
58777.0422453704,-3827104.65395622,-76.2975042582617,-5610772.59334704,6791722.83978145
58777.0428240741,-3504886.81153432,-80.0834159015293,-5817468.12423292,6791698.38439154
58777.0434027778,-3171566.21404786,-83.7070678524829,-6005681.76893524,6791689.46336756
58777.0439814815,-2828202.19868082,-87.1487919435407,-6174822.11340701,6791697.56514806
58777.0445601852,-2475885.00929634,-90.3891515892978,-6324358.34512118,6791724.01271816
58777.0451388889,-2115732.34801084,-93.4090280359494,-6453821.77980823,6791769.94182458
58777.0457175926,-1748885.86532334,-96.1897069320851,-6562807.1962177,6791836.28144165
58777.0462962963,-1376507.59850721,-98.7129649120576,-6650973.97885179,6791923.73675205
58777.046875,-999776.367610294,-100.961155876144,-6718047.06887373,6792032.77487882
58777.0474537037,-619884.137835505,-102.917296646417,-6763817.72363521,6792163.61356923
58777.0480324074,-238032.356701957,-104.565151670154,-6788144.08534985,6792316.21298958
58777.0486111111,144571.72598254,-105.88931643595,-6790951.55947372,6792490.27075377
58777.0491898148,526718.747587736,-106.875299260703,-6772233.00330896,6792685.22026377
58777.0497685185,907200.923996507,-107.509601098852,-6732048.72525947,6792900.23239898
58777.0503472222,1284815.73532617,-107.779793018843,-6670526.29505365,6793134.22054653
58777.0509259259,1658369.59855528,-107.674590986253,-6587860.16513155,6793385.84892197
58777.0515046296,2026681.51946032,-107.183927588453,-6484311.10329236,6793653.54408737
